term,coef,std_error,p_value,ci_lower,ci_upper,relativity,relativity_lower,relativity_upper
C(Region)[R72],0.04404954549901296,0.13006487396348476,0.7348555936125925,-0.21087292312315858,0.2989720141211845,1.0450341303432862,0.8098769769792512,1.3484718847740844
C(Region)[R73],-0.3506104926881817,0.1284499325370786,0.0063420861790770555,-0.6023677342774554,-0.09885325109890797,0.7042580140848639,0.5475137331224125,0.9058756345237935
C(Region)[R74],0.14563962437585876,0.19067726556096326,0.44498540863888536,-0.22808094879420882,0.5193601975459263,1.156779237886124,0.7960598171448939,1.680951828474018
C(Region)[R82],0.1504462020634303,0.08662463101917994,0.0824295260879917,-0.019334954908233587,0.32022735903509414,1.1623527712403954,0.9808507664350268,1.3774409023716898
C(Region)[R83],-0.36032880489426594,0.16915852938241183,0.03316129852094263,-0.6918734301615537,-0.028784179626978268,0.6974469643900935,0.5006372809814853,0.9716261385554816
C(Region)[R91],0.24244301146233507,0.11770442276669318,0.03942136870272339,0.011746582018540036,0.47313944090613014,1.2743586232596151,1.0118158440447786,1.6050251735376768
C(Region)[R93],0.3632956455235274,0.09564718004043593,0.00014569830042954202,0.17583061742145464,0.5507606736256001,1.438060952682847,1.1922360975223707,1.734571959302963
C(Region)[R94],0.23269522086705807,0.18658391891633674,0.2123482270905761,-0.13300254030330366,0.5983929820374199,1.2619967904201037,0.8754628681647302,1.8191929743055273
C(Area)[B],-0.1826064840967968,0.12079249847415226,0.13060079287109927,-0.4193554307087447,0.05414246251515106,0.8330959277375724,0.6574704685388376,1.0556349798575448
C(Area)[C],-0.2284473442522299,0.15018623029996725,0.1282362992996604,-0.522806946614004,0.0659122581095441,0.7957681978708301,0.5928541004398944,1.0681329930462196
C(Area)[D],-0.23857400905930878,0.217439033068176,0.27255417019774675,-0.6647466827061476,0.18759866458753002,0.787750385434703,0.5144038185867404,1.2063492675023444
C(Area)[E],-0.34661671992375537,0.2876861992059915,0.2282638942438191,-0.9104713092167143,0.21723786936920347,0.7070762845806172,0.4023345553567069,1.2426396528955157
C(Area)[F],-0.8553308232448756,0.3710048704990588,0.021141739172372942,-1.5824870075119777,-0.1281746389777736,0.425142520786794,0.20546347305986595,0.8796997358663624
"bs(VehAge, df=5, lower_bound=0, upper_bound=100)[1]",0.058204241136969,0.12520050104754657,0.6420114893481061,-0.18718423176259158,0.3035927140365296,1.0599314552100891,0.8292909405792316,1.3547171864184147
