term,coef,std_error,p_value,ci_lower,ci_upper,relativity,relativity_lower,relativity_upper
"bs(DrivAge, df=5, lower_bound=18, upper_bound=100)[1]",-0.8536603486081205,0.2644916454831965,0.001248546604382339,-1.3720544479669217,-0.33526624924931925,0.4258533040922306,0.25358544592110843,0.7151476534764892
"bs(DrivAge, df=5, lower_bound=18, upper_bound=100)[2]",-0.4839907277021564,0.17259992837768068,0.005045428922274553,-0.8222803710566033,-0.14570108434770945,0.6163189165783567,0.43942845118129376,0.8644160520585096
"bs(DrivAge, df=5, lower_bound=18, upper_bound=100)[3]",-0.8618810545285556,0.2510056803336102,0.0005953778366096785,-1.3538431478974053,-0.36991896115970585,0.42236683954848653,0.2582458739946576,0.6907903092146497
"bs(DrivAge, df=5, lower_bound=18, upper_bound=100)[4]",0.23619385927165393,0.32827992508443693,0.47183955686565704,-0.4072229707413495,0.8796106892846574,1.2664197935902857,0.6654957876682721,2.4099613000055733
"bs(DrivAge, df=5, lower_bound=18, upper_bound=100)[5]",-1.2544002731190416,0.5568612608143059,0.024282726902595364,-2.3458282887006465,-0.16297225753743638,0.2852468671509436,0.09576784584547944,0.8496147584932737
"bs(BonusMalus, knots=[55, 65, 80, 100], lower_bound=0, upper_bound=230)[1]",583.1262289229229,343.879409291754,0.08993724576586204,-90.86502831382325,1257.1174861596692,1.7721622220577775e+253,3.4500040533912132e-40,1.0142320547350045e+304
"bs(BonusMalus, knots=[55, 65, 80, 100], lower_bound=0, upper_bound=230)[2]",573.4039215666006,338.5291534233984,0.09030147399541777,-90.10102686009452,1236.9088699932959,1.0620844198909807e+249,7.406639736993547e-40,1.0142320547350045e+304
"bs(BonusMalus, knots=[55, 65, 80, 100], lower_bound=0, upper_bound=230)[3]",574.082007671511,338.9015124046738,0.09027490195176369,-90.15275094780407,1238.3167662908259,2.092416286215378e+249,7.033277208569017e-40,1.0142320547350045e+304
"bs(BonusMalus, knots=[55, 65, 80, 100], lower_bound=0, upper_bound=230)[4]",574.1162512708072,338.8117385415683,0.0901704460141346,-89.94255381006792,1238.1750563516823,2.1653090841145197e+249,8.678510475086934e-40,1.0142320547350045e+304
"bs(BonusMalus, knots=[55, 65, 80, 100], lower_bound=0, upper_bound=230)[5]",574.1433021682167,338.92149427392263,0.09025951341148675,-90.13062019516985,1238.417224531603,2.224682063722998e+249,7.190664047719221e-40,1.0142320547350045e+304
"bs(BonusMalus, knots=[55, 65, 80, 100], lower_bound=0, upper_bound=230)[6]",574.260489835763,338.67910864508656,0.08996378790112391,-89.5383654247347,1238.0593450962606,2.50127769731955e+249,1.3001156239768403e-39,1.0142320547350045e+304
"bs(BonusMalus, knots=[55, 65, 80, 100], lower_bound=0, upper_bound=230)[7]",574.2182060735419,338.96277749758747,0.09025672803120499,-90.13662992139348,1238.5730420684772,2.3977191181345346e+249,7.147579717612905e-40,1.0142320547350045e+304
LogDensity,0.06147810870370537,0.04366218496241283,0.15911918665612257,-0.024098201308950108,0.14705441871636085,1.0634072169115227,0.9761898419305519,1.1584170008808188
